 ,Label,Area,Perim.,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
3796,4D-U-Z4.tif,0.001,0.161,0.574,0.062,68,270,153.435,0.035,2.206,0.453,0.729
3797,4D-U-Z4.tif,0.002,0.185,0.675,0.072,83,268,122.471,0.042,1.699,0.589,0.797
3798,4D-U-Z4.tif,0.001,0.162,0.521,0.055,421,277,53.130,0.044,1.097,0.912,0.637
3799,4D-U-Z4.tif,0.002,0.275,0.361,0.092,571,278,17.354,0.044,2.216,0.451,0.716
3800,4D-U-Z4.tif,0.003,0.274,0.458,0.090,295,272,142.431,0.060,1.596,0.627,0.744
3801,4D-U-Z4.tif,0.010,0.512,0.485,0.148,441,285,15.068,0.114,1.135,0.881,0.780
3802,4D-U-Z4.tif,0.001,0.178,0.455,0.077,752,273,175.914,0.027,3.360,0.298,0.738
3803,4D-U-Z4.tif,0.001,0.224,0.305,0.067,826,272,145.008,0.043,1.485,0.673,0.678
3804,4D-U-Z4.tif,0.005,0.447,0.338,0.121,169,273,114.228,0.097,1.113,0.898,0.647
3805,4D-U-Z4.tif,0.004,0.317,0.549,0.111,496,276,147.095,0.062,2.031,0.492,0.799
3806,4D-U-Z4.tif,0.003,0.217,0.767,0.083,897,276,143.130,0.058,1.204,0.831,0.837
3807,4D-U-Z4.tif,0.001,0.183,0.524,0.070,927,273,141.340,0.034,2.474,0.404,0.754
3808,4D-U-Z4.tif,0.002,0.224,0.449,0.083,417,285,36.870,0.043,2.479,0.403,0.690
3809,4D-U-Z4.tif,0.003,0.239,0.566,0.099,247,278,160.560,0.047,2.051,0.487,0.776
3810,4D-U-Z4.tif,0.001,0.191,0.440,0.059,555,276,138.814,0.042,1.361,0.735,0.724
3811,4D-U-Z4.tif,0.012,0.636,0.382,0.168,789,299,23.199,0.134,1.216,0.823,0.729
3812,4D-U-Z4.tif,0.001,0.178,0.551,0.076,865,277,149.744,0.037,2.463,0.406,0.773
3813,4D-U-Z4.tif,0.002,0.173,0.800,0.067,77,284,24.444,0.046,1.477,0.677,0.846
3814,4D-U-Z4.tif,0.004,0.272,0.629,0.092,225,277,122.735,0.071,1.432,0.698,0.790
3815,4D-U-Z4.tif,0.003,0.233,0.689,0.085,271,278,165.069,0.050,1.652,0.605,0.845
3816,4D-U-Z4.tif,0.001,0.200,0.420,0.078,327,278,140.711,0.042,2.167,0.461,0.603
3817,4D-U-Z4.tif,0.002,0.228,0.417,0.085,382,277,165.069,0.033,2.612,0.383,0.755
3818,4D-U-Z4.tif,0.009,0.499,0.438,0.152,471,300,40.601,0.098,1.674,0.597,0.768
3819,4D-U-Z4.tif,0.008,0.452,0.504,0.159,563,288,14.036,0.083,2.185,0.458,0.778
3820,4D-U-Z4.tif,0.001,0.144,0.736,0.060,675,278,146.310,0.038,1.440,0.694,0.800
3821,4D-U-Z4.tif,0.004,0.351,0.396,0.121,690,281,177.397,0.061,2.049,0.488,0.707
3822,4D-U-Z4.tif,0.003,0.222,0.728,0.075,714,280,143.973,0.059,1.237,0.808,0.832
3823,4D-U-Z4.tif,0.006,0.339,0.699,0.122,747,283,174.806,0.081,1.386,0.722,0.837
3824,4D-U-Z4.tif,0.002,0.269,0.405,0.092,144,284,17.354,0.044,2.036,0.491,0.755
3825,4D-U-Z4.tif,0.012,0.587,0.428,0.162,962,307,80.218,0.136,1.279,0.782,0.749
3826,4D-U-Z4.tif,0.001,0.233,0.308,0.091,46,286,25.017,0.031,3.797,0.263,0.647
3827,4D-U-Z4.tif,0.003,0.274,0.458,0.094,177,279,151.928,0.061,1.367,0.731,0.717
3828,4D-U-Z4.tif,0.002,0.303,0.319,0.118,648,282,169.216,0.039,3.639,0.275,0.684
3829,4D-U-Z4.tif,0.004,0.288,0.579,0.094,910,288,28.072,0.061,1.378,0.726,0.840
